twitter_link,text,date,likes,comments,retweets,username,hashtag
https://twitter.com/godsganggo/status/1726651951851712673#m,"Our Gang stands for a world filled with LOVE. Join us on our journey to make love, not war. 🌍❤️  #GodsGang #MakeLoveNotWar #Peace #love #unity #acceptance #GodsGangGo","Nov 20, 2023 · 5:21 PM UTC",4179,505,358,@godsganggo,love
https://twitter.com/cpabogadossc/status/1752418348774965335#m,🔴 #NoLoDigoYo #Noticias #Cdmx #Politics #Youtube #Mexico #Almomento #Usa    #Últimahora #Importante #Video #News #Envivo #Eeuu #Politica #Alerta #Love #Acciones #Pesomexicano #Usdmxn #throwbackthursday #Mediosdecomunicación #presidente #Últimominuto #Lomásvisto #Internacional #International #Salud #Amlo #Justicia #Youtubers #Gdl #Nuevoleon #Monterrey #Enterate #Comparte #Sigueme #Vivamexico #Eu #SiTocasAAmloNosTocasATodos #Followfriday #Twitterbestfandom #YaSabesQuién #TwitterDown #Lady1000Millones #ApagaTvAzteca #SalinasPliegoEsMisógino #TrenMaya #Ahora #Cogupta,"Jan 30, 2024 · 7:47 PM UTC",0,0,0,@cpabogadossc,love
https://twitter.com/cpabogadossc/status/1752418086001705176#m,🔴 #NoLoDigoYo #Noticias #Cdmx #Politics #Youtube #Mexico #Almomento #Usa    #Últimahora #Importante #Video #News #Envivo #Eeuu #Politica #Alerta #Love #Acciones #Pesomexicano #Usdmxn #throwbackthursday #Mediosdecomunicación #presidente #Últimominuto #Lomásvisto #Internacional #International #Salud #Amlo #Justicia #Youtubers #Gdl #Nuevoleon #Monterrey #Enterate #Comparte #Sigueme #Vivamexico #Eu #SiTocasAAmloNosTocasATodos #Followfriday #Twitterbestfandom #YaSabesQuién #TwitterDown #Lady1000Millones #ApagaTvAzteca #SalinasPliegoEsMisógino #TrenMaya #Ahora #Cogupta,"Jan 30, 2024 · 7:46 PM UTC",1,0,2,@cpabogadossc,love
https://twitter.com/cpabogadossc/status/1752418008608514231#m,🔴 #NoLoDigoYo #Noticias #Cdmx #Politics #Youtube #Mexico #Almomento #Usa    #Últimahora #Importante #Video #News #Envivo #Eeuu #Politica #Alerta #Love #Acciones #Pesomexicano #Usdmxn #throwbackthursday #Mediosdecomunicación #presidente #Últimominuto #Lomásvisto #Internacional #International #Salud #Amlo #Justicia #Youtubers #Gdl #Nuevoleon #Monterrey #Enterate #Comparte #Sigueme #Vivamexico #Eu #SiTocasAAmloNosTocasATodos #Followfriday #Twitterbestfandom #YaSabesQuién #TwitterDown #Lady1000Millones #ApagaTvAzteca #SalinasPliegoEsMisógino #TrenMaya #Ahora #Cogupta,"Jan 30, 2024 · 7:46 PM UTC",0,0,1,@cpabogadossc,love
https://twitter.com/SashkaCo/status/1752385641676210222#m,#Giveaway!! We're giving away 3 Sashka Co. bracelets to 3 #friends!  To Enter:  1. Follow @SashkaCo  2. Like this post 3. Tag 2 #friends below  4. Share! 💜 Good luck!  #love #style #beautiful #bracelets #jewelry #bracelet #fashion #accessories #trendy,"Jan 30, 2024 · 5:37 PM UTC",52,48,43,@SashkaCo,love
https://twitter.com/JaKiTruth/status/1752418256692920402#m,"🚨10 Years Ago, Deion comforts a traumatized Shedeur about divorce  ""You don't have to hate one parent to love the other""   His father taught him a valuable lesson of life  @DeionSanders @CUBuffsFootball @ShedeurSanders #fatherandson #fatherlove #Divorce #legendary #hope #Love","Jan 30, 2024 · 7:47 PM UTC",0,0,0,@JaKiTruth,love
https://twitter.com/Rammie24/status/1752413772306866344#m,Why are European Governments Urging Citizens to Stockpile Prescription Drugs? https://wltreport.com/2024/01/30/why-are-european-governments-urging-citizens-stockpile-prescription/ #love #Push via @DailyNoahNews,"Jan 30, 2024 · 7:29 PM UTC",10,3,17,@Rammie24,love
https://twitter.com/LondynRose1014/status/1752014232135102908#m,Hope everyone has a wonderful Monday ❤️ #Monday #cute #love #DogsOfTwitter #DogsOnTwitter #dogsarefamily #rescued #abuse #Survivor,"Jan 29, 2024 · 5:01 PM UTC",623,80,50,@LondynRose1014,love
https://twitter.com/TAVNWNYCACC/status/1752365553979650548#m,"15 days of #Love #BeMyValentine #NYCACC #AdoptDontShop #FostersSaveLives   Our lovely angel, Christmas Hobbies: strolls thru a park, sit on a bench, hang out in the kitchen Sociable, affectionate & independent NIckname: Wiggle Queen https://nycacc.app/#/browse/189487 Go #Adopt her today","Jan 30, 2024 · 4:18 PM UTC",55,5,97,@TAVNWNYCACC,love
https://twitter.com/pcusabingewatch/status/1752401697148981446#m,Community Presbyterian #GrandRapids #Minnesota  It’s a wrap.  It was a great 2024 youth winter retreat! ❤️🎶❄️ #Tuesdaytravel #Presbyterian #pcusa #Youth #retreat #travel #winter,"Jan 30, 2024 · 6:41 PM UTC",3,0,3,@pcusabingewatch,travel
https://twitter.com/Cheryl_Tegan/status/1752418981346975889#m,Tall clouds at sunset ⛅️  #sunset #sunsetphotography #sunsets #Florida #weather #sky #WINTER #travel #Cloud #clouds #trees #NaturePhotography #nature #naturelovers #photo #photooftheday #picoftheday #ThePhotoHour #StormHour #photography,"Jan 30, 2024 · 7:50 PM UTC",0,0,0,@Cheryl_Tegan,travel
